slug	name_before	name_after	kana_before	kana_after	latin_before	latin_after	status	sources	note
ann-elise-lewallen	ann-elise lewallen	ann-elise lewallen			ann-elise lewallen	ann-elise lewallen	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
shizue-ukaji	宇梶 静江	宇梶 静江		うかじ しずえ	Shizue Ukaji	Shizue Ukaji	verified-update	https://id.ndl.go.jp/auth/ndlna/01061517	姓名と生年が一致するNDL典拠の読み。
kazuyuki-tanimoto	谷本 一之	谷本 一之		たにもと かずゆき	Kazuyuki Tanimoto	Kazuyuki Tanimoto	verified-update	https://id.ndl.go.jp/auth/ndlna/00082625	姓名と生年が一致するNDL典拠の読み。
david-w-hughes	David W. Hughes	David W. Hughes			David W. Hughes	David W. Hughes	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
mikiso-hane	Mikiso Hane	Mikiso Hane			Mikiso Hane	Mikiso Hane	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
kanako-uzawa	Kanako Uzawa	Kanako Uzawa			Kanako Uzawa	Kanako Uzawa	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
yolanda-munoz-gonzalez	Yolanda Muñoz González	Yolanda Muñoz González			Yolanda Muñoz González	Yolanda Muñoz González	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
katarina-sjoberg	Katarina Sjoberg	Katarina Sjoberg			Katarina Sjoberg	Katarina Sjoberg	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
simon-cotterill	Simon Cotterill	Simon Cotterill			Simon Cotterill	Simon Cotterill	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
koji-maeda	前田 耕司	前田 耕司			Kōji Maeda	Kōji Maeda	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
sidney-c-h-cheung	Sidney C. H. Cheung	Sidney C. H. Cheung			Sidney C. H. Cheung	Sidney C. H. Cheung	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
michael-roellinghoff	Michael Roellinghoff	Michael Roellinghoff			Michael Roellinghoff	Michael Roellinghoff	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
goro-shima	GORO SHIMA	GORO SHIMA			GORO SHIMA	GORO SHIMA	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
takakura-shinichiro	高倉 新一郎	高倉 新一郎		たかくら しんいちろう	Takakura Shinichiro	Takakura Shinichiro	verified-update	https://id.ndl.go.jp/auth/ndlna/00078504	姓名と生年が一致するNDL典拠の読み。
jun-ho-choe	Jun-Ho Choe	Jun-Ho Choe			Jun-Ho Choe	Jun-Ho Choe	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
norbert-r-adami	Norbert R. Adami	Norbert R. Adami			Norbert R. Adami	Norbert R. Adami	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
hans-a-dettmer	Hans A. Dettmer	Hans A. Dettmer			Hans A. Dettmer	Hans A. Dettmer	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
kan-wada	和田 完	和田 完		わだ かん	Wada Kan	Wada Kan	verified-update	https://id.ndl.go.jp/auth/ndlna/00089876	既存の人物同定で照合したNDL典拠の読み。
takashi-irimoto	煎本 孝	煎本 孝		いりもと たかし	Irimoto Takashi	Irimoto Takashi	verified-update	https://id.ndl.go.jp/auth/ndlna/00131179	既存の人物同定で照合したNDL典拠の読み。
hirofumi-kato	加藤 博文	加藤 博文		かとう ひろふみ	Hirofumi Katō	Hirofumi Katō	verified-update	https://id.ndl.go.jp/auth/ndlna/00996082	姓名と生年が一致するNDL典拠の読み。
fosco-maraini	Fosco Maraini	Fosco Maraini			Fosco Maraini	Fosco Maraini	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
noemi-godefroy	Noémi Godefroy	Noémi Godefroy			Noémi Godefroy	Noémi Godefroy	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
roslynn-ang	Roslynn Ang	Roslynn Ang			Roslynn Ang	Roslynn Ang	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
mayumi-okada	Mayumi Okada	Mayumi Okada			Mayumi Okada	Mayumi Okada	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
kakurina-natalja	Kakurina Nataļja	Kakurina Nataļja			Kakurina Nataļja	Kakurina Nataļja	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
tessa-morris-suzuki	Tessa Morris-Suzuki	Tessa Morris-Suzuki			Tessa Morris-Suzuki	Tessa Morris-Suzuki	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
richard-siddle	Richard Siddle	Richard Siddle			Richard Siddle	Richard Siddle	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
kyoko-selden	Kyoko Selden	Kyoko Selden			Kyoko Selden	Kyoko Selden	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
ida-ayu-laksmita-sari	Ida Ayu Laksmita Sari	Ida Ayu Laksmita Sari			Ida Ayu Laksmita Sari	Ida Ayu Laksmita Sari	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
osamu-kondo	OSAMU KONDO	OSAMU KONDO			OSAMU KONDO	OSAMU KONDO	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
honda-katsuichi	Honda Katsuichi	Honda Katsuichi			Honda Katsuichi	Honda Katsuichi	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
hitoshi-watanabe	渡辺 仁	渡辺 仁		わたなべ ひとし	Watanabe Hitoshi	Watanabe Hitoshi	verified-update	https://id.ndl.go.jp/auth/ndlna/00090648	既存の人物同定で照合したNDL典拠の読み。
akira-goto	Akira Goto	Akira Goto			Akira Goto	Akira Goto	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
joseph-m-kitagawa	Joseph M. Kitagawa	Joseph M. Kitagawa			Joseph M. Kitagawa	Joseph M. Kitagawa	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
hosanna-fukuzawa	Hosanna Fukuzawa	Hosanna Fukuzawa			Hosanna Fukuzawa	Hosanna Fukuzawa	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
tatsuyoshi-masuda	Tatsuyoshi Masuda	Tatsuyoshi Masuda			Tatsuyoshi Masuda	Tatsuyoshi Masuda	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
alexander-bukh	Alexander Bukh	Alexander Bukh			Alexander Bukh	Alexander Bukh	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
peter-geiser	Peter Geiser	Peter Geiser			Peter Geiser	Peter Geiser	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
tadao-mitui	Tadao Mitui	Tadao Mitui			Tadao Mitui	Tadao Mitui	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
sigeru-sumi	Sigeru Sumi	Sigeru Sumi			Sigeru Sumi	Sigeru Sumi	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
chisato-dubreuil	Chisato Dubreuil	Chisato Dubreuil			Chisato Dubreuil	Chisato Dubreuil	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
gary-w-crawford	Gary W. Crawford	Gary W. Crawford			Gary W. Crawford	Gary W. Crawford	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
kirsten-yumiko-taguchi	Kirsten Yumiko Taguchi	Kirsten Yumiko Taguchi			Kirsten Yumiko Taguchi	Kirsten Yumiko Taguchi	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
s-itoh	S. Itoh	S. Itoh			S. Itoh	S. Itoh	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
a-kuroshima	A. Kuroshima	A. Kuroshima			A. Kuroshima	A. Kuroshima	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
masayuki-ueno	上野 昌之	上野 昌之		うえの まさゆき	Ueno Masayuki	Ueno Masayuki	verified-update	https://id.ndl.go.jp/auth/ndlna/001193020	登録著作と同じ著作を出典とするNDL典拠の読み。
miyama-osamu	美山 治	美山 治			Miyama Osamu	Miyama Osamu	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-15abopl	松浦 孝平	松浦 孝平			Kohei Matsuura	Kohei Matsuura	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
ikegami-jiro	池上 二良	池上 二良		いけがみ じろう	Jirō Ikegami	Jirō Ikegami	verified-update	https://id.ndl.go.jp/auth/ndlna/00142653	姓名と生年が一致するNDL典拠の読み。
ono-yugo	小野 有五	小野 有五		おの ゆうご	Ono Yūgo	Ono Yūgo	verified-update	https://id.ndl.go.jp/auth/ndlna/00140916	姓名と生年が一致するNDL典拠の読み。
kuwabayashi-kenji	桑林 賢治	桑林 賢治			Kuwabayashi Kenji	Kuwabayashi Kenji	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
endo-masatoshi	遠藤 匡俊	遠藤 匡俊		えんどう まさとし	Endō Masatoshi	Endō Masatoshi	verified-update	https://id.ndl.go.jp/auth/ndlna/00544849	既存の人物同定で照合したNDL典拠の読み。
kato-hyakuichi	加藤 百一	加藤 百一		かとう ひゃくいち	Katō Hyakuichi	Katō Hyakuichi	verified-update	https://id.ndl.go.jp/auth/ndlna/00027692	既存の人物同定で照合したNDL典拠の読み。
yokohira-hiroshi	横平 弘	横平 弘			Yokohira Hiroshi	Yokohira Hiroshi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1n77u3o	川上 将史	川上 将史		かわかみ まさし		Kawakami Masashi	verified-update	https://www.hokkaidoisan.org/pdf/isan_07.pdf	本人取材記事のプロフィール。臨床工学技士の同姓同名人物とは区別。
maekawa-fumio	前川文夫	前川文夫		まえかわ ふみお	Fumio Maekawa	Fumio Maekawa	verified-update	https://id.ndl.go.jp/auth/ndlna/00039480	姓名と生年が一致するNDL典拠の読み。
sato-masahiko	佐藤 昌彦	佐藤 昌彦		さとう まさひこ	Satō Masahiko	Satō Masahiko	verified-update	https://id.ndl.go.jp/auth/ndlna/00688871	既存の人物同定で照合したNDL典拠の読み。
obayashi-taryo	大林 太良	大林 太良		おおばやし たりょう	Taryō Ōbayashi	Taryō Ōbayashi	verified-update	https://id.ndl.go.jp/auth/ndlna/00057271	姓名と生年が一致するNDL典拠の読み。
p-12ohmil	木村 英明	木村 英明		きむら ひであき		Kimura Hideaki	verified-update	https://id.ndl.go.jp/auth/ndlna/00164827	既存の人物同定で照合したNDL典拠の読み。
ito-atsunori	伊藤 敦規	伊藤 敦規		いとう あつのり	Atsunori Itō	Atsunori Itō	verified-update	https://id.ndl.go.jp/auth/ndlna/001109233	登録著作と同じ著作を出典とするNDL典拠の読み。
p-1dhckok	廣瀬隆人	廣瀬隆人		ひろせ たかひと		Hirose Takahito	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=8970&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。 確認されたカナをヘボン式に転写。
ishikawa-motosuke	石川 元助	石川 元助		いしかわ もとすけ	Ishikawa Motosuke	Ishikawa Motosuke	verified-update	https://id.ndl.go.jp/auth/ndlna/00021278	既存の人物同定で照合したNDL典拠の読み。
p-tuy84r	坂本 恵衣	坂本 恵衣		さかもと けい		Sakamoto Kei	verified-update	https://www.city.ishikari.hokkaido.jp/museum/1004794/index.html	所属資料館の学芸員紹介にふりがな。
uchida-yuichi	内田 祐一	内田 祐一		うちだ ゆういち	Uchida Yūichi	Uchida Yūichi	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=16721&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。
p-1awxh9o	伊勢 寛	伊勢 寛		いせ ひろし		Ise Hiroshi	verified-update	https://doi.org/10.5996/newgeo.51.4_1	当該論文の登録メタデータHiroshi ISE。
tsumagari-toshiro	津曲 敏郎	津曲 敏郎		つまがり としろう	Tsumagari Toshirō	Tsumagari Toshirō	verified-update	https://id.ndl.go.jp/auth/ndlna/00254566	既存の人物同定で照合したNDL典拠の読み。
inukai-tetsuo	犬飼 哲夫	犬飼 哲夫		いぬかい てつお	Inukai Tetsuo	Inukai Tetsuo	verified-update	https://id.ndl.go.jp/auth/ndlna/00169966	姓名と生年が一致するNDL典拠の読み。
p-1cuw446	宮地 鼓	宮地 鼓		みやじ つずみ		Miyaji Tsuzumi	verified-update	https://kaken.nii.ac.jp/ja/file/KAKENHI-PROJECT-24740345/24740345seika.pdf	研究成果報告書にMIYAJI TSUZUMI。NDL典拠のミヤジ ツズミも照合。
p-12ykcjr	奥山 英登	奥山 英登		おくやま ひでと		Okuyama Hideto	verified-update	https://ceca.mini.icom.museum/wp-content/uploads/sites/5/2023/09/Book-BEST-PRACTICE-11-2023-336Mo.pdf	ICOM CECAの著者リストHideto Okuyama（64頁）。
kawakami-jun	川上 淳	川上 淳		かわかみ じゅん	Jun Kawakami	Jun Kawakami	verified-update	https://id.ndl.go.jp/auth/ndlna/00131361	既存の人物同定で照合したNDL典拠の読み。
p-cgadvd	戸川 貴之	戸川 貴之					reading-unresolved		確定読みの裏付けを未確認。
p-1jwkn23	岩佐 奈々子	岩佐 奈々子		いわさ ななこ		Iwasa Nanako	verified-update	https://jglobal.jst.go.jp/detail?JGLOBAL_ID=202101012090351992	本人・所属機関または原著論文の著者表記で確認。
arai-kaori	新井 かおり	新井 かおり			Arai Kaori	Arai Kaori	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
iwasawa-takako	岩澤 孝子	岩澤 孝子		いわさわ たかこ	Iwasawa Takako	Iwasawa Takako	verified-update	https://id.ndl.go.jp/auth/ndlna/031781499	登録著作と同じ著作を出典とするNDL典拠の読み。
momose-hibiki	百瀬 響	百瀬 響		ももせ ひびき	Momose Hibiki	Momose Hibiki	verified-update	https://id.ndl.go.jp/auth/ndlna/00762834	既存の人物同定で照合したNDL典拠の読み。
takegahara-yukio	竹ケ原 幸朗	竹ケ原 幸朗			Takegahara Yukio	Takegahara Yukio	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
tamura-masato	田村 将人	田村 将人			Tamura Masato	Tamura Masato	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1wrm8x0	立石 信一	立石 信一		たていし しんいち		Tateishi Shinichi	verified-update	https://ycu.repo.nii.ac.jp/records/1116	本人・所属機関または原著論文の著者表記で確認。
sekiguchi-yoshihiko	関口 由彦	関口 由彦		せきぐち よしひこ	Sekiguchi Yoshihiko	Sekiguchi Yoshihiko	verified-update	https://id.ndl.go.jp/auth/ndlna/01126308	既存の人物同定で照合したNDL典拠の読み。
p-z25ghv	是澤 櫻子	是澤 櫻子				Koresawa Sakurako	verified-update	https://eprints.lib.hokudai.ac.jp/repo/huscap/all/91266/03_4_Koresawa.pdf	本人・所属機関または原著論文の著者表記で確認。
hayashi-yoshishige	林 善茂	林 善茂		はやし よししげ	Yoshishige Hayashi	Yoshishige Hayashi	verified-update	https://id.ndl.go.jp/auth/ndlna/00009851	姓名と生年が一致するNDL典拠の読み。
sumiya-kazuhiko	住谷 一彦	住谷 一彦		すみや かずひこ	Kazuhiko Sumiya	Kazuhiko Sumiya	verified-update	https://id.ndl.go.jp/auth/ndlna/00074968	姓名と生年が一致するNDL典拠の読み。
p-1avbcz7	三橋 博	三橋 博		みつはし ひろし		Mitsuhashi Hiroshi	verified-update	https://id.ndl.go.jp/auth/ndlna/00044136	既存の人物同定で照合したNDL典拠の読み。
kono-hiromichi	河野 広道	河野 広道		こうの ひろみち	Kōno Hiromichi	Kōno Hiromichi	verified-update	https://id.ndl.go.jp/auth/ndlna/00035412	姓名と生年が一致するNDL典拠の読み。
yahata-tomoe	八幡 巴	八幡 巴			Yahata Tomoe	Yahata Tomoe	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
sasaki-shiro	佐々木 史郎	佐々木 史郎		ささき しろう	Sasaki Shirō	Sasaki Shirō	verified-update	https://id.ndl.go.jp/auth/ndlna/00383617	既存の人物同定で照合したNDL典拠の読み。
p-1bcg76a	呉 松旆	呉 松旆				Wu Sung-Pei	verified-update	https://cir.nii.ac.jp/crid/1520577741138402560	当該論文の英文著者名。日本語音読Go Shohaiは採用しない。
p-1nobjlt	木名瀬 高嗣	木名瀬 高嗣		きなせ たかし	Takashi Kinase	Takashi Kinase	verified-update	https://id.ndl.go.jp/auth/ndlna/031977221	既存の人物同定で照合したNDL典拠の読み。
okita-noriaki	大喜多 紀明	大喜多 紀明			Ōkita Noriaki	Ōkita Noriaki	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
natori-takemitsu	名取 武光	名取 武光		なとり たけみつ	Takemitsu Natori	Takemitsu Natori	verified-update	https://id.ndl.go.jp/auth/ndlna/00054195	姓名と生年が一致するNDL典拠の読み。
tokuda-sadakazu	徳田 貞一	徳田 貞一		とくだ さだかず	Tokuda Sadakazu	Tokuda Sadakazu	verified-update	https://id.ndl.go.jp/auth/ndlna/00084654	既存の人物同定で照合したNDL典拠の読み。
kono-tsunekichi	河野 常吉	河野 常吉		こうの つねきち	Tsunekichi Kōno	Tsunekichi Kōno	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=341&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。
fujimoto-hideo	藤本 英夫	藤本 英夫		ふじもと ひでお	Fujimoto Hideo	Fujimoto Hideo	verified-update	https://id.ndl.go.jp/auth/ndlna/00015734	既存の人物同定で照合したNDL典拠の読み。
miyabe-kingo	宮部金吾	宮部金吾		みやべ きんご	Kingo Miyabe	Kingo Miyabe	verified-update	https://id.ndl.go.jp/auth/ndlna/00044610	姓名と生年が一致するNDL典拠の読み。
p-1nliw67	小谷 凱宣	小谷 凱宣		こたに よしのぶ		Kotani Yoshinobu	verified-update	https://id.ndl.go.jp/auth/ndlna/00121713	既存の人物同定で照合したNDL典拠の読み。
ogawa-masato	小川 正人	小川 正人		おがわ まさひと	Ogawa Masato	Ogawa Masahito	verified-update	https://www.hm.pref.hokkaido.lg.jp/study/staff/ogawa-masahito/ https://id.ndl.go.jp/auth/ndlna/00681475	北海道博物館の本人紹介にOGAWA Masahitoと明記。
nishikiya-tadashi	錦谷 禎	錦谷 禎			Nishikiya Tadashi	Nishikiya Tadashi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-idpctl	シン ウォンジ	シン ウォンジ				Shin Wonji	verified-update	https://jglobal.jst.go.jp/detail?JGLOBAL_ID=202401014730401864	国立アイヌ民族博物館の研究者プロフィール。
tosabayashi-yoshio	土佐林 義雄	土佐林 義雄			Yoshio Tosabayashi	Yoshio Tosabayashi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
sasaki-toshikazu	佐々木 利和	佐々木 利和		ささき としかず	Toshikazu Sasaki	Toshikazu Sasaki	verified-update	https://id.ndl.go.jp/auth/ndlna/00189905	姓名と生年が一致するNDL典拠の読み。
udagawa-hiroshi	宇田川 洋	宇田川 洋	うだがわ ひろし	うだがわ ひろし	Udagawa Hiroshi	Udagawa Hiroshi	existing-kana		既存のかなを保持。
miki-masafumi	三木 理史	三木 理史		みき まさふみ	Masafumi Miki	Masafumi Miki	verified-update	https://id.ndl.go.jp/auth/ndlna/00764219	姓名と生年が一致するNDL典拠の読み。
p-1owqqtz	井上 善十郎	井上 善十郎		いのうえ ぜんじゅうろう		Inoue Zenjuro	verified-update	https://id.ndl.go.jp/auth/ndlna/00019923	既存の人物同定で照合したNDL典拠の読み。
okawada-akira	岡和田 晃	岡和田 晃		おかわだ あきら	Akira Okawada	Akira Okawada	verified-update	https://id.ndl.go.jp/auth/ndlna/01162724	姓名と生年が一致するNDL典拠の読み。
kobayashi-koji	小林 孝二	小林 孝二		こばやし こうじ	Kobayashi Kōji	Kobayashi Kōji	verified-update	https://id.ndl.go.jp/auth/ndlna/01204951	既存の人物同定で照合したNDL典拠の読み。
ogaki-naoaki	大垣 直明	大垣 直明		おおがき なおあき	Ōgaki Naoaki	Ōgaki Naoaki	verified-update	https://id.ndl.go.jp/auth/ndlna/00130125	既存の人物同定で照合したNDL典拠の読み。
seki-masanori	關 政則	關 政則			Seki Masanori	Seki Masanori	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
shinohara-chika	篠原 智花	篠原 智花			Shinohara Chika	Shinohara Chika	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
sasakura-irumi	笹倉 いる美	笹倉 いる美			Sasakura Irumi	Sasakura Irumi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
niioka-takehiko	新岡 武彦	新岡 武彦		にいおか たけひこ	Niioka Takehiko	Niioka Takehiko	verified-update	https://id.ndl.go.jp/auth/ndlna/00104877	既存の人物同定で照合したNDL典拠の読み。
tsuboi-shogoro	坪井 正五郎	坪井 正五郎		つぼい しょうごろう	Tsuboi Shōgorō	Tsuboi Shōgorō	verified-update	https://id.ndl.go.jp/auth/ndlna/00086000	姓名と生年が一致するNDL典拠の読み。
ishida-shuzo	石田 収蔵	石田 収蔵			Ishida Shūzō	Ishida Shūzō	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1w11480	浜守 杏奈	浜守 杏奈				Hamamori Anna	verified-update	https://jissen.repo.nii.ac.jp/record/2545/files/%E7%94%9F%E6%B4%BB%E7%A7%91%E5%AD%A660-6.pdf	当該論文の英文著者名。大学の別資料に矛盾するカナがあり、カナは保留。
sato-sachiko	佐藤 幸子	佐藤 幸子			Sachiko Satō	Sachiko Satō	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
saito-reiko	齋藤 玲子	齋藤 玲子			Saito Reiko	Saito Reiko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1geswer	石橋 俊實	石橋 俊實					reading-unresolved		確定読みの裏付けを未確認。
hirako-goichi	平光 吾一	平光 吾一			Goichi Hirako	Goichi Hirako	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
matsunaga-yasuhiro	松永 康佑	松永 康佑		まつなが こうすけ	Yasuhiro Matsunaga	Matsunaga Kosuke	verified-update	https://www.scu.ac.jp/research/news/profile/kosuke-matsunaga/ https://id.ndl.go.jp/auth/ndlna/031781584	所属大学の英文表記。
sugiyama-sueo	杉山 壽榮男	杉山 壽榮男			Sugiyama Sueo	Sugiyama Sueo	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
suzuki-hisashi	鈴木 尚	鈴木 尚		すずき ひさし	Hisashi Suzuki	Hisashi Suzuki	verified-update	https://id.ndl.go.jp/auth/ndlna/00075364	姓名と生年が一致するNDL典拠の読み。
haniwara-kazuro	埴原 和郎	埴原 和郎		はにはら かずろう	Kazurō Haniwara	Hanihara Kazurō	verified-update	https://www.jstage.jst.go.jp/article/asj/113/1/113_1_1/_pdf https://id.ndl.go.jp/auth/ndlna/00007084	学会の追悼論文の英文姓名。NDL典拠とも一致。
p-113iutn	大場 秀夫	大場 秀夫					reading-unresolved		確定読みの裏付けを未確認。
nakamura-kazuyuki	中村 和之	中村 和之		なかむら かずゆき	Kazuyuki Nakamura	Kazuyuki Nakamura	verified-update	https://id.ndl.go.jp/auth/ndlna/01120632	既存の人物同定で照合したNDL典拠の読み。
kohama-mototsugu	小浜 基次	小浜 基次		こはま もとつぐ	Kohama Mototsugu	Kohama Mototsugu	verified-update	https://id.ndl.go.jp/auth/ndlna/00755353	既存の人物同定で照合したNDL典拠の読み。
yachita-mio	谷地田 未緒	谷地田 未緒			Yachita Mio	Yachita Mio	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-754y3m	小林 房太郎	小林 房太郎		こばやし ふさたろう		Kobayashi Fusataro	verified-update	https://id.ndl.go.jp/auth/ndlna/00033052	既存の人物同定で照合したNDL典拠の読み。
ikeda-yuko	池田 裕子	池田 裕子			Yūko Ikeda	Yūko Ikeda	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-13p2pr0	野本 正博	野本 正博		のもと まさひろ		Nomoto Masahiro	verified-update	https://hijas-arc.ws.hosei.ac.jp/news/20250314-16info.html	本人・所属機関または原著論文の著者表記で確認。
yamamoto-yuko	山本 祐弘	山本 祐弘		やまもと ゆうこう	Yamamoto Yūkō	Yamamoto Yūkō	verified-update	https://id.ndl.go.jp/auth/ndlna/00093743	既存の人物同定で照合したNDL典拠の読み。
yanagita-kunio	柳田 國男	柳田 國男		やなぎた くにお	Kunio Yanagita	Kunio Yanagita	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=1242&domain=ainu	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。
okada-hiroaki	岡田 宏明	岡田 宏明		おかだ ひろあき	Hiroaki Okada	Hiroaki Okada	verified-update	https://id.ndl.go.jp/auth/ndlna/00059263	姓名と生年が一致するNDL典拠の読み。
kawamura-minato	川村 湊	川村 湊		かわむら みなと	Minato Kawamura	Minato Kawamura	verified-update	https://id.ndl.go.jp/auth/ndlna/00131366	姓名と生年が一致するNDL典拠の読み。
p-12ok2ju	木村 邦彦	木村 邦彦		きむら くにひこ		Kimura Kunihiko	verified-update	https://id.ndl.go.jp/auth/ndlna/00031002	既存の人物同定で照合したNDL典拠の読み。
ishii-tomomi	石井 智美	石井 智美		いしい さとみ	Tomomi Ishii	Ishii Satomi	verified-update	https://inr.jp/company/staff https://id.ndl.go.jp/auth/ndlna/001291581	本人の現所属先プロフィール。酪農学園大学での食文化研究歴とも一致。
keira-tomoko	計良 智子	計良 智子		けいら ともこ	Tomoko Keira	Tomoko Keira	verified-update	https://id.ndl.go.jp/auth/ndlna/00377824	姓名と生年が一致するNDL典拠の読み。
ishihara-mai	石原 真衣	石原 真衣		いしはら まい	Mai Ishihara	Mai Ishihara	verified-update	https://id.ndl.go.jp/auth/ndlna/031373991	姓名と生年が一致するNDL典拠の読み。
deriha-koji	出利葉 浩司	出利葉 浩司		でりは こうじ	Deriha Kōji	Deriha Kōji	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=9089&domain=ainu	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。
egami-namio	江上 波夫	江上 波夫		えがみ なみお	Namio Egami	Namio Egami	verified-update	https://id.ndl.go.jp/auth/ndlna/00005086	姓名と生年が一致するNDL典拠の読み。
nagata-hosei	永田 方正	永田 方正		ながた ほうせい	Hōsei Nagata	Hōsei Nagata	verified-update	https://id.ndl.go.jp/auth/ndlna/00050348	姓名と生年が一致するNDL典拠の読み。
sakuma-manabu	佐久間 学	佐久間 学			Manabu Sakuma	Manabu Sakuma	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-l1k9nn	羽深 久夫	羽深 久夫		はぶか ひさお		Habuka Hisao	verified-update	https://doi.org/10.3130/aija.79.2733	当該論文の登録メタデータHisao HABUKA。
shirayama-tomomasa	白山 友正	白山 友正		しらやま ともまさ	Shirayama Tomomasa	Shirayama Tomomasa	verified-update	https://id.ndl.go.jp/auth/ndlna/00073128	既存の人物同定で照合したNDL典拠の読み。
kondo-shiro	近藤 四郎	近藤 四郎		こんどう しろう	Shirō Kondō	Shirō Kondō	verified-update	https://id.ndl.go.jp/auth/ndlna/00102714	姓名と生年が一致するNDL典拠の読み。
ogata-tamotsu	小片 保	小片 保		おがた たもつ	Ogata Tamotsu	Ogata Tamotsu	verified-update	https://id.ndl.go.jp/auth/ndlna/00113013	既存の人物同定で照合したNDL典拠の読み。
